City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
193,Porto Velho,BR,78.8,few clouds,-8.76,-63.9,Ecos Hotel Conforto
195,Cartagena,CO,81.3,clear sky,10.4,-75.51,Allure Chocolat
200,Morant Bay,JM,82.4,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
201,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
204,Port Blair,IN,87.3,moderate rain,11.67,92.75,Hotel Sentinel
206,Garoua,CM,85.23,overcast clouds,9.3,13.4,Hotel De L'Amitie
207,Tukrah,LY,76.41,few clouds,32.53,20.58,استراحة لاقروتا
213,Iracoubo,GF,77.97,heavy intensity rain,5.48,-53.2,
215,Surt,LY,81.43,broken clouds,31.21,16.59,City Hotel
216,Galle,LK,86.11,overcast clouds,6.04,80.22,CocoBay Unawatuna
219,Mayor Pablo Lagerenza,PY,78.37,clear sky,-19.93,-60.77,
226,Tubuala,PA,82.4,overcast clouds,9.52,-79.03,
228,Saint George,US,75.2,scattered clouds,37.1,-113.58,Best Western Plus Abbey Inn
229,Dzilam Gonzalez,MX,75.33,broken clouds,21.28,-88.93,Amina
232,Grand Gaube,MU,73.0,overcast clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
234,Namibe,AO,77.76,scattered clouds,-15.2,12.15,Chik-Chik Namibe
235,Parakou,BJ,73.85,overcast clouds,9.34,2.63,Benin Metropole Hotel
237,Maceio,BR,73.4,light rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
240,Minab,IR,86.0,overcast clouds,27.15,57.08,فروشگاه موبایل ترکمانی
241,Nunchia,CO,73.33,light rain,5.64,-72.2,Centro Vacacional Los Buhos
243,Mitsamiouli,KM,81.19,moderate rain,-11.38,43.28,Foyer ADM
249,Gujar Khan,PK,82.99,light rain,33.26,73.3,Al-Nemat dairy shop barki jadeed ward 2
251,Kaka,TM,75.88,clear sky,37.35,59.61,
252,Tangwani,PK,86.0,haze,28.28,69.0,DURANI SAHAB
253,Sao Jose Da Coroa Grande,BR,77.63,light rain,-8.9,-35.15,Crôa Mares Hotel
260,Santa Isabel Do Rio Negro,BR,73.35,overcast clouds,-0.41,-65.02,Hotel GSA
263,Mangrol,IN,86.65,clear sky,21.12,70.12,Hotel The Royal Honours
264,Tabou,CI,79.93,light rain,4.42,-7.35,hotêl doufoulougou
266,Barra Do Bugres,BR,71.58,broken clouds,-15.07,-57.18,Hotel 4am Petrofurt
267,Ilheus,BR,70.74,broken clouds,-14.79,-39.05,Pontal Praia Hotel
270,Humaita,BR,74.23,moderate rain,-7.51,-63.02,Corrêa Hotel
271,Am Timan,TD,82.56,few clouds,11.03,20.28,
278,Tselinnoye,RU,76.48,broken clouds,53.08,85.67,Zolotaya Podkova
284,San Borja,BO,70.11,overcast clouds,-14.82,-66.85,
285,Korla,CN,73.65,overcast clouds,41.76,86.15,Gulisitan Hotel
293,Raga,SS,77.22,overcast clouds,8.46,25.68,
294,Caibarien,CU,71.6,light rain,22.52,-79.47,La Nena
296,Isabela,PH,89.6,few clouds,6.71,121.97,Isawad Resort
297,Najran,SA,71.6,clear sky,17.49,44.13,محمد هادي ال فطيح
300,Jacareacanga,BR,73.56,overcast clouds,-6.22,-57.75,Casa do Ian😎
302,Darnah,LY,70.59,clear sky,32.77,22.64,زاوية الرفاعي
303,Loubomo,CG,71.15,light rain,-4.2,12.67,La Dolisienne
304,Veraval,IN,86.92,clear sky,20.9,70.37,Lords Inn Somnath
306,Duku,NG,80.6,overcast clouds,11.24,4.91,
307,Sardinata,CO,77.94,clear sky,8.08,-72.8,Hotel El Turpial
311,Kudahuvadhoo,MV,85.75,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
315,Fatick,SN,75.2,scattered clouds,14.36,-16.59,
316,Atbasar,KZ,72.86,clear sky,51.8,68.33,"The Ritz-Carlton, Astana"
317,Kanniyakumari,IN,87.31,broken clouds,8.08,77.57,New Cape Hotel
318,Pankrushikha,RU,74.41,scattered clouds,53.83,80.34,"Гостиница ""Уют"""
319,Dawlatabad,AF,82.71,clear sky,36.41,64.91,WASIM ASGAR KHAN
322,Cabedelo,BR,75.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
326,Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
327,Mabaruma,GY,75.65,scattered clouds,8.2,-59.78,
330,Praia,CV,71.6,scattered clouds,14.92,-23.51,LT Aparthotel
333,Oum Hadjer,TD,80.38,broken clouds,13.3,19.7,
334,Sokoni,TZ,79.88,broken clouds,-6.43,39.55,Ujamaa Beach Resort
337,Tamandare,BR,77.76,light rain,-8.76,-35.1,Pousada 100 Passos
339,Cockburn Town,TC,80.15,overcast clouds,21.46,-71.14,Osprey Beach Hotel
340,Tabas,IR,77.0,scattered clouds,33.6,56.92,شرکت معماری مهراز شایگان آراد
342,Dharchula,IN,73.6,few clouds,29.85,80.53,Mahara Hotel
344,Micheweni,TZ,79.68,light rain,-4.97,39.83,
346,Takoradi,GH,73.62,moderate rain,4.88,-1.76,Raybow International Hotel
349,Urumqi,CN,77.0,overcast clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
352,Eyl,SO,83.14,broken clouds,7.98,49.82,Amiin Hotel
359,Tambacounda,SN,84.2,clear sky,13.75,-13.76,
360,Harper,LR,80.47,moderate rain,4.38,-7.72,Cape View Guest House
