City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
52,Atar,20.52,-13.05,79.11,20,23,11.32,MR,2020-05-11 04:15:14,few clouds,0.0,0.0
53,Torbay,47.67,-52.73,37.0,80,90,17.22,CA,2020-05-11 04:14:47,overcast clouds,0.0,0.0
54,Marsh Harbour,26.54,-77.06,73.27,88,100,16.24,BS,2020-05-11 04:15:15,light rain,0.0,0.0
55,Paracuru,-3.41,-39.03,78.01,84,87,1.99,BR,2020-05-11 04:15:15,light rain,0.0,0.0
56,Manbij,36.53,37.95,55.4,76,0,3.36,SY,2020-05-11 04:15:15,clear sky,0.0,0.0
57,Hambantota,6.12,81.12,84.2,94,75,6.93,LK,2020-05-11 04:15:16,broken clouds,0.0,0.0
58,Vangaindrano,-23.35,47.6,67.69,81,69,1.97,MG,2020-05-11 04:15:16,broken clouds,0.0,0.0
59,Kerouane,9.27,-9.02,72.19,93,100,3.0,GN,2020-05-11 04:15:17,overcast clouds,0.0,0.0
60,Arraial Do Cabo,-22.97,-42.03,71.33,69,0,21.85,BR,2020-05-11 04:15:17,clear sky,0.0,0.0
61,Baghdad,33.34,44.4,64.4,48,0,2.24,IQ,2020-05-11 04:12:02,clear sky,0.0,0.0
62,Harrisonburg,38.45,-78.87,55.4,50,75,9.17,US,2020-05-11 04:12:36,broken clouds,0.0,0.0
63,Aubergenville,48.96,1.85,46.99,77,100,11.01,FR,2020-05-11 04:15:17,overcast clouds,0.0,0.0
64,Kathu,7.92,98.33,78.8,88,75,3.36,TH,2020-05-11 04:15:18,light rain,0.0,0.0
65,Chirongui,-12.93,45.15,82.4,74,19,11.41,YT,2020-05-11 04:15:18,few clouds,0.0,0.0
66,Iqaluit,63.75,-68.51,24.8,73,90,25.28,CA,2020-05-11 04:13:24,light snow,0.0,0.0
67,Bredasdorp,-34.53,20.04,59.0,87,0,5.82,ZA,2020-05-11 04:15:19,clear sky,0.0,0.0
68,Lebu,-37.62,-73.65,52.11,85,76,3.62,CL,2020-05-11 04:13:34,broken clouds,0.0,0.0
69,Dikson,73.51,80.55,27.91,98,100,14.14,RU,2020-05-11 04:13:50,overcast clouds,0.0,0.0
70,Saint-Georges,12.06,-61.75,80.6,78,20,14.99,GD,2020-05-11 04:15:19,few clouds,0.0,0.0
71,Sao Joao Da Barra,-21.64,-41.05,67.21,74,2,8.28,BR,2020-05-11 04:14:17,clear sky,0.0,0.0
72,Colares,38.8,-9.45,61.0,87,54,20.49,PT,2020-05-11 04:15:19,light rain,0.0,0.0
73,Havoysund,71.0,24.66,33.8,82,90,14.99,NO,2020-05-11 04:15:20,light snow,0.0,0.0
74,Meulaboh,4.14,96.13,85.39,72,100,6.73,ID,2020-05-11 04:15:20,light rain,0.0,0.0
75,Ronne,55.1,14.71,46.4,87,100,9.17,DK,2020-05-11 04:15:21,overcast clouds,0.0,0.0
76,Voznesenye,61.01,35.48,40.6,70,80,4.16,RU,2020-05-11 04:15:21,broken clouds,0.0,0.0
